"code_region","region","departement","rang_vaccinal","date_debut_semaine","nb"
NA,NA,"",1,2021-01-18,12
NA,NA,"",2,2021-02-01,11
NA,NA,"",2,2021-02-08,12
84,"ARA","01",1,2021-01-18,1460
84,"ARA","01",1,2021-01-25,1939
84,"ARA","01",2,2021-01-25,66
84,"ARA","01",1,2021-02-01,1696
84,"ARA","01",2,2021-02-01,526
84,"ARA","01",1,2021-02-08,1472
84,"ARA","01",2,2021-02-08,1431
84,"ARA","01",1,2021-02-15,946
84,"ARA","01",2,2021-02-15,937
84,"ARA","01",1,2021-02-22,682
84,"ARA","01",2,2021-02-22,2096
84,"ARA","01",1,2021-03-01,663
84,"ARA","01",2,2021-03-01,1755
84,"ARA","01",1,2021-03-08,614
84,"ARA","01",2,2021-03-08,1774
32,"HDF","02",1,2021-01-18,2995
32,"HDF","02",1,2021-01-25,991
32,"HDF","02",2,2021-01-25,308
32,"HDF","02",1,2021-02-01,791
32,"HDF","02",2,2021-02-01,1602
32,"HDF","02",1,2021-02-08,742
32,"HDF","02",2,2021-02-08,2083
32,"HDF","02",1,2021-02-15,304
32,"HDF","02",2,2021-02-15,1907
32,"HDF","02",1,2021-02-22,154
32,"HDF","02",2,2021-02-22,903
32,"HDF","02",1,2021-03-01,585
32,"HDF","02",2,2021-03-01,715
32,"HDF","02",1,2021-03-08,644
32,"HDF","02",2,2021-03-08,496
84,"ARA","03",1,2021-01-18,4570
84,"ARA","03",2,2021-01-18,4
84,"ARA","03",1,2021-01-25,2682
84,"ARA","03",2,2021-01-25,91
84,"ARA","03",1,2021-02-01,1900
84,"ARA","03",2,2021-02-01,625
84,"ARA","03",1,2021-02-08,1270
84,"ARA","03",2,2021-02-08,816
84,"ARA","03",1,2021-02-15,248
84,"ARA","03",2,2021-02-15,4410
84,"ARA","03",1,2021-02-22,138
84,"ARA","03",2,2021-02-22,3465
84,"ARA","03",1,2021-03-01,176
84,"ARA","03",2,2021-03-01,1428
84,"ARA","03",1,2021-03-08,114
84,"ARA","03",2,2021-03-08,829
93,"PAC","04",1,2021-01-18,1393
93,"PAC","04",2,2021-01-18,3
93,"PAC","04",1,2021-01-25,1492
93,"PAC","04",2,2021-01-25,17
93,"PAC","04",1,2021-02-01,1379
93,"PAC","04",2,2021-02-01,15
93,"PAC","04",1,2021-02-08,1076
93,"PAC","04",2,2021-02-08,469
93,"PAC","04",1,2021-02-15,315
93,"PAC","04",2,2021-02-15,1439
93,"PAC","04",1,2021-02-22,18
93,"PAC","04",2,2021-02-22,1483
93,"PAC","04",1,2021-03-01,10
93,"PAC","04",2,2021-03-01,1338
93,"PAC","04",1,2021-03-08,18
93,"PAC","04",2,2021-03-08,1051
93,"PAC","05",1,2021-01-18,977
93,"PAC","05",1,2021-01-25,1155
93,"PAC","05",2,2021-01-25,55
93,"PAC","05",1,2021-02-01,924
93,"PAC","05",2,2021-02-01,249
93,"PAC","05",1,2021-02-08,381
93,"PAC","05",2,2021-02-08,635
93,"PAC","05",1,2021-02-15,154
93,"PAC","05",2,2021-02-15,725
93,"PAC","05",1,2021-02-22,20
93,"PAC","05",2,2021-02-22,1082
93,"PAC","05",1,2021-03-01,13
93,"PAC","05",2,2021-03-01,860
93,"PAC","05",1,2021-03-08,3
93,"PAC","05",2,2021-03-08,398
93,"PAC","06",1,2021-01-18,4293
93,"PAC","06",2,2021-01-18,4
93,"PAC","06",1,2021-01-25,3537
93,"PAC","06",2,2021-01-25,819
93,"PAC","06",1,2021-02-01,1754
93,"PAC","06",2,2021-02-01,1433
93,"PAC","06",1,2021-02-08,932
93,"PAC","06",2,2021-02-08,1931
93,"PAC","06",1,2021-02-15,591
93,"PAC","06",2,2021-02-15,4622
93,"PAC","06",1,2021-02-22,548
93,"PAC","06",2,2021-02-22,4317
93,"PAC","06",1,2021-03-01,805
93,"PAC","06",2,2021-03-01,1995
93,"PAC","06",1,2021-03-08,65
93,"PAC","06",2,2021-03-08,995
84,"ARA","07",1,2021-01-18,482
84,"ARA","07",2,2021-01-18,1
84,"ARA","07",1,2021-01-25,486
84,"ARA","07",2,2021-01-25,56
84,"ARA","07",1,2021-02-01,940
84,"ARA","07",2,2021-02-01,294
84,"ARA","07",1,2021-02-08,550
84,"ARA","07",2,2021-02-08,202
84,"ARA","07",1,2021-02-15,423
84,"ARA","07",2,2021-02-15,600
84,"ARA","07",1,2021-02-22,273
84,"ARA","07",2,2021-02-22,972
84,"ARA","07",1,2021-03-01,188
84,"ARA","07",2,2021-03-01,935
84,"ARA","07",1,2021-03-08,4
84,"ARA","07",2,2021-03-08,401
44,"GES","08",1,2021-01-18,1803
44,"GES","08",2,2021-01-18,6
44,"GES","08",1,2021-01-25,1357
44,"GES","08",2,2021-01-25,76
44,"GES","08",1,2021-02-01,638
44,"GES","08",2,2021-02-01,570
44,"GES","08",1,2021-02-08,315
44,"GES","08",2,2021-02-08,638
44,"GES","08",1,2021-02-15,30
44,"GES","08",2,2021-02-15,1459
44,"GES","08",1,2021-02-22,19
44,"GES","08",2,2021-02-22,1286
44,"GES","08",1,2021-03-01,31
44,"GES","08",2,2021-03-01,548
44,"GES","08",1,2021-03-08,41
44,"GES","08",2,2021-03-08,274
76,"OCC","09",1,2021-01-18,1658
76,"OCC","09",1,2021-01-25,1114
76,"OCC","09",2,2021-01-25,230
76,"OCC","09",1,2021-02-01,394
76,"OCC","09",2,2021-02-01,737
76,"OCC","09",1,2021-02-08,65
76,"OCC","09",2,2021-02-08,1178
76,"OCC","09",1,2021-02-15,35
76,"OCC","09",2,2021-02-15,1167
76,"OCC","09",1,2021-02-22,9
76,"OCC","09",2,2021-02-22,805
76,"OCC","09",1,2021-03-01,2
76,"OCC","09",2,2021-03-01,232
76,"OCC","09",1,2021-03-08,1
76,"OCC","09",2,2021-03-08,35
44,"GES","10",1,2021-01-18,2354
44,"GES","10",2,2021-01-18,4
44,"GES","10",1,2021-01-25,1873
44,"GES","10",2,2021-01-25,10
44,"GES","10",1,2021-02-01,1467
44,"GES","10",2,2021-02-01,479
44,"GES","10",1,2021-02-08,1496
44,"GES","10",2,2021-02-08,598
44,"GES","10",1,2021-02-15,47
44,"GES","10",2,2021-02-15,2127
44,"GES","10",1,2021-02-22,10
44,"GES","10",2,2021-02-22,1852
44,"GES","10",1,2021-03-01,7
44,"GES","10",2,2021-03-01,1391
44,"GES","10",1,2021-03-08,5
44,"GES","10",2,2021-03-08,1456
76,"OCC","11",1,2021-01-18,1551
76,"OCC","11",2,2021-01-18,6
76,"OCC","11",1,2021-01-25,1832
76,"OCC","11",2,2021-01-25,83
76,"OCC","11",1,2021-02-01,1907
76,"OCC","11",2,2021-02-01,670
76,"OCC","11",1,2021-02-08,1495
76,"OCC","11",2,2021-02-08,1185
76,"OCC","11",1,2021-02-15,660
76,"OCC","11",2,2021-02-15,1363
76,"OCC","11",1,2021-02-22,414
76,"OCC","11",2,2021-02-22,1695
76,"OCC","11",1,2021-03-01,350
76,"OCC","11",2,2021-03-01,1555
76,"OCC","11",1,2021-03-08,329
76,"OCC","11",2,2021-03-08,1254
76,"OCC","12",1,2021-01-18,2368
76,"OCC","12",1,2021-01-25,3166
76,"OCC","12",2,2021-01-25,4
76,"OCC","12",1,2021-02-01,2261
76,"OCC","12",2,2021-02-01,97
76,"OCC","12",1,2021-02-08,1040
76,"OCC","12",2,2021-02-08,687
76,"OCC","12",1,2021-02-15,69
76,"OCC","12",2,2021-02-15,2382
76,"OCC","12",1,2021-02-22,20
76,"OCC","12",2,2021-02-22,3094
76,"OCC","12",1,2021-03-01,195
76,"OCC","12",2,2021-03-01,1938
76,"OCC","12",1,2021-03-08,203
76,"OCC","12",2,2021-03-08,1037
93,"PAC","13",1,2021-01-18,8218
93,"PAC","13",2,2021-01-18,18
93,"PAC","13",1,2021-01-25,8779
93,"PAC","13",2,2021-01-25,237
93,"PAC","13",1,2021-02-01,7153
93,"PAC","13",2,2021-02-01,1262
93,"PAC","13",1,2021-02-08,5671
93,"PAC","13",2,2021-02-08,3285
93,"PAC","13",1,2021-02-15,1441
93,"PAC","13",2,2021-02-15,7931
93,"PAC","13",1,2021-02-22,765
93,"PAC","13",2,2021-02-22,8508
93,"PAC","13",1,2021-03-01,689
93,"PAC","13",2,2021-03-01,6010
93,"PAC","13",1,2021-03-08,803
93,"PAC","13",2,2021-03-08,4677
28,"NOR","14",1,2021-01-18,4795
28,"NOR","14",2,2021-01-18,9
28,"NOR","14",1,2021-01-25,4364
28,"NOR","14",2,2021-01-25,222
28,"NOR","14",1,2021-02-01,3876
28,"NOR","14",2,2021-02-01,890
28,"NOR","14",1,2021-02-08,3036
28,"NOR","14",2,2021-02-08,2185
28,"NOR","14",1,2021-02-15,166
28,"NOR","14",2,2021-02-15,4114
28,"NOR","14",1,2021-02-22,198
28,"NOR","14",2,2021-02-22,4037
28,"NOR","14",1,2021-03-01,245
28,"NOR","14",2,2021-03-01,3088
28,"NOR","14",1,2021-03-08,195
28,"NOR","14",2,2021-03-08,2434
84,"ARA","15",1,2021-01-18,2125
84,"ARA","15",1,2021-01-25,1785
84,"ARA","15",2,2021-01-25,43
84,"ARA","15",1,2021-02-01,1001
84,"ARA","15",2,2021-02-01,587
84,"ARA","15",1,2021-02-08,719
84,"ARA","15",2,2021-02-08,538
84,"ARA","15",1,2021-02-15,50
84,"ARA","15",2,2021-02-15,1976
84,"ARA","15",1,2021-02-22,9
84,"ARA","15",2,2021-02-22,1399
84,"ARA","15",1,2021-03-01,8
84,"ARA","15",2,2021-03-01,763
84,"ARA","15",2,2021-03-08,695
75,"NAQ","16",1,2021-01-18,1587
75,"NAQ","16",1,2021-01-25,2130
75,"NAQ","16",2,2021-01-25,8
75,"NAQ","16",1,2021-02-01,1629
75,"NAQ","16",2,2021-02-01,283
75,"NAQ","16",1,2021-02-08,1495
75,"NAQ","16",2,2021-02-08,641
75,"NAQ","16",1,2021-02-15,200
75,"NAQ","16",2,2021-02-15,2352
75,"NAQ","16",1,2021-02-22,45
75,"NAQ","16",2,2021-02-22,2680
75,"NAQ","16",1,2021-03-01,24
75,"NAQ","16",2,2021-03-01,1860
75,"NAQ","16",1,2021-03-08,4
75,"NAQ","16",2,2021-03-08,1418
75,"NAQ","17",1,2021-01-18,5521
75,"NAQ","17",2,2021-01-18,4
75,"NAQ","17",1,2021-01-25,7067
75,"NAQ","17",2,2021-01-25,127
75,"NAQ","17",1,2021-02-01,3351
75,"NAQ","17",2,2021-02-01,1257
75,"NAQ","17",1,2021-02-08,1922
75,"NAQ","17",2,2021-02-08,1892
75,"NAQ","17",1,2021-02-15,387
75,"NAQ","17",2,2021-02-15,5725
75,"NAQ","17",1,2021-02-22,58
75,"NAQ","17",2,2021-02-22,6464
75,"NAQ","17",1,2021-03-01,308
75,"NAQ","17",2,2021-03-01,3192
75,"NAQ","17",1,2021-03-08,293
75,"NAQ","17",2,2021-03-08,1978
24,"CVL","18",1,2021-01-18,1357
24,"CVL","18",2,2021-01-18,6
24,"CVL","18",1,2021-01-25,1726
24,"CVL","18",2,2021-01-25,21
24,"CVL","18",1,2021-02-01,1484
24,"CVL","18",2,2021-02-01,9
24,"CVL","18",1,2021-02-08,1227
24,"CVL","18",2,2021-02-08,344
24,"CVL","18",1,2021-02-15,41
24,"CVL","18",2,2021-02-15,1341
24,"CVL","18",1,2021-02-22,6
24,"CVL","18",2,2021-02-22,1347
24,"CVL","18",1,2021-03-01,2
24,"CVL","18",2,2021-03-01,1477
24,"CVL","18",1,2021-03-08,1
24,"CVL","18",2,2021-03-08,1112
75,"NAQ","19",1,2021-01-18,1241
75,"NAQ","19",1,2021-01-25,1234
75,"NAQ","19",2,2021-01-25,3
75,"NAQ","19",1,2021-02-01,1240
75,"NAQ","19",2,2021-02-01,80
75,"NAQ","19",1,2021-02-08,1029
75,"NAQ","19",2,2021-02-08,156
75,"NAQ","19",1,2021-02-15,78
75,"NAQ","19",2,2021-02-15,1228
75,"NAQ","19",1,2021-02-22,4
75,"NAQ","19",2,2021-02-22,959
75,"NAQ","19",1,2021-03-01,1
75,"NAQ","19",2,2021-03-01,1062
75,"NAQ","19",1,2021-03-08,1
75,"NAQ","19",2,2021-03-08,804
27,"BFC","21",1,2021-01-18,4463
27,"BFC","21",2,2021-01-18,2
27,"BFC","21",1,2021-01-25,4374
27,"BFC","21",2,2021-01-25,88
27,"BFC","21",1,2021-02-01,2155
